NAPHTHALENE,FLUORANTHENE,ACENAPHTHENE,BENZIDINE,"CRESOL, PARA-","1,2,3-TRICHLOROBENZENE",DIELDRIN,ALDRIN,HEPTACHLOR,"HEXACHLOROCYCLOHEXANE, GAMMA-",PENTACHLOROPHENOL,AZINPHOS-METHYL,DICOFOL,ENDOSULFAN,CHLORPYRIFOS
72.92462425,12.71846562,0.555658934,40.95712379,25.3245727,8.924702106,18.65545695,29.72786744,55.77996533,20.12570422,17.1218557,8.275644499,74.78546969,0.684931775,34.33335978
144.4483997,18.14735073,2.445726381,163.7770397,69.5702121,0.005512056,0.579320198,55.38130951,88.88667485,5.742888834,12.76225525,21.34630856,109.0868134,0.893750571,102.8820765
0.132311856,12.3757269,79.55070718,632.455532,,0.006035949,50.69584908,50.87974791,77.24830172,10.89726282,8.877068903,25.23645598,115.7797278,1.732369872,163.5974663
0.132311856,33.38905257,58.86897404,57.25126432,,0.842815789,4.708511165,35.88974782,51.68233191,5.862328089,26.8055752,39.19168064,99.7048814,1.352729478,77.075613
69.92797668,7.772437287,66.68977659,29.30521939,,25.38748304,1.004612816,52.17203083,100.8571254,31.84720882,13.17969586,101.5165242,70.06877093,10.50317349,36.86926285
11.63231035,7.772437287,75.65103309,19.8159783,,25.50446841,96.18643744,40.49447415,69.11399244,5.676409281,4.849538761,101.5165242,37.53842012,10.50317349,39.18159265
15.85079878,124.7293454,98.31064381,41.69702771,,25.47791512,35.24948407,58.43799025,65.37155519,14.98779471,36.5775274,28.2929958,106.7940789,0.58377674,102.8231871
15.54571891,124.7293454,23.76518613,40,,25.43191533,76.65252948,25.69095462,81.31774817,23.18199953,9.974744519,7.175030271,1.616553989,1.25200913,74.04189884
21.41187193,26.54032647,81.97558017,40,,,59.69823565,22.4979273,66.80115497,6.519529596,11.25287704,7.175030271,10,10.05834578,163.6542266
27.67246009,2.04693906,32.39984623,40,,,121.0821872,3.093088654,60.15123378,40,15.26527765,22.60567338,10,10.53072552,24.77722842
28.63241736,2.04693906,32.39549485,40,,,109.1430469,20.40372621,85.86579553,40,19.24821952,21.17317397,10,10.53072552,110.1241685
,9.54416736,33.08964851,10,,,71.51626543,11.66659261,131.6523268,40,30.3757112,32.00611677,10,7.625617325,57.23957624
,8.16262086,32.66071351,50.21756175,,,1.916448277,19.75012262,163.5755566,40,38.7860591,40.02625218,10,7.625617325,6.33742743
,27.76800065,32.38468336,16.17260269,,,2.551958999,30.68163113,163.6089582,40,32.4053063,16.93525732,10,1.148470371,4.340210548
,4.695935276,51.64972756,46.81267458,,,0.770378359,57.24924913,40.68201104,40,17.66334192,26.87955073,10,1.432681487,24.10043785
,11.23657459,37.70044177,29.94527716,,,1.67949907,22.61102919,119.5555259,42.9130273,6.336979004,10.61656167,10,1.045991146,71.50188806
,0.077868834,40.21807532,3.710023843,,,73.46811717,24.40537696,9.340453309,36.28274899,27.56131601,38.31592213,40,1.242005006,72.41040053
,163.6331474,46.86196076,35.26492612,,,22.53084732,33.09073428,163.6373402,25.69229372,41.24106687,7.80206219,40,1.117504579,4.643469103
,23.76911084,,15.66517026,,,59.3694988,26.26087535,163.6978359,1.365048771,34.31599932,31.22977551,10,8.173947005,87.16380035
,69.33500831,,12.42201109,,,15.6219782,13.93523009,21.78127597,13.08781888,81.78067911,29.30565609,10,8.173947005,40
,77.60638825,,34.61665643,,,10,1.89742131,26.96574631,19.74955131,24.47932556,17.29216094,40,1.684200983,40
,28.52602318,,13.75539558,,,40,4.038778431,31.97206461,1.338904505,8.074346192,87.07359115,10,2.567813877,40
,6.216406609,,29.76336101,,,10,0.911777535,118.7990912,1.123789217,10.01919861,87.07359115,10,3.271351499,40
,6.216406609,,3.019620872,,,40,26.53322387,110.2616749,1.232919657,9.513171329,14.61445267,10,4.626016322,40
,8.780051413,,0.073541404,,,10,7.166850071,163.5936242,20.54544735,10.11723355,9.514584256,40,4.626016322,40
,26.8258227,,17.95101007,,,40,9.209347701,79.01409212,1.127231383,45.07765043,15.48491402,10,5.914208255,40
,12.19942961,,34.39720898,,,40,30.54478588,129.8971036,13.46754284,12.00018532,43.55334031,40,8.799259916,40
,12.19942961,,49.55784351,,,40,40,102.9214683,13.46754284,5.952581012,43.55334031,10,40,40
,73.4694198,,32.08269299,,,10,10,123.6034778,0.503612602,7.610308458,110.7401984,10,10,40
,40,,17.64872845,,,40,40,8.397731618,0.503612602,17.6432727,40,10,40,40
,10,,4.124018713,,,40,40,10.59187515,1.668763258,2.500117156,40,10,40,40
,40,,35.72653444,,,40,40,163.6222303,0.09759055,2.448394334,40,40,40,40
,40,,9.864620978,,,4,40,101.6099346,1.429868611,10.13878616,40,10,40,40
,40,,49.72912922,,,40,10,142.835544,2.287925667,3.798585157,40,10,10,40
,40,,0.946037105,,,40,10,10,0.587587277,4.09930712,40,40,10,40
,40,,2.169469749,,,10,40,10,1.889339426,6.525552784,40,40,40,40
