Chemical,CAS,MW,H37,vb,logkow,CNOM_M,pKa,IOC type
Hydralazine hydrochloride,304-20-1,160.18,4.42E-03,116.624,0.725,1.00E-06,6,Base
Ketoconazole,65277-42-1,531.43,0.004526021,384.99,4.35,1.00E-06,6.6,Base
Metformin,1115-70-4,129.16,3.60E-04,100.793,-0.87,1.00E-06,9.6,Base
Metoclopramide,364-62-5,299.8,2.0217E-05,257.8,2.62,1.00E-06,9,Base
Nitrofurantoin,67-20-9,238.16,0.001464592,131.072,-0.47,1.00E-06,7.3,Acid
Oxytetracycline hydrochloride,2058-46-0,460.43,1.36684E-06,268.172,-1.53,1.00E-06,4.5,Acid
Panthenol,16485-10-2 ,205.25,0.001163367,175.975,-0.895,1.00E-06,,Neutral
Paracetamol,103-90-2,151.16,0.000583065,120.946,0.46,1.00E-06,,Neutral
Topiramate,97240-79-4,339.36,0.00094562,253.865,-1.39,1.00E-06,9.2,Acid
Trimellitic anhydride,552-30-7,192.13,2.26838E-06,115.092,1.46,1.00E-06,3.3,Acid
Verapamil hydrochloride,152-11-4,454.6,0.047393263,429.392,4.48,1.00E-06,9.2,Base
Warfarin,129-06-6,308.33,3.76458E-06,235.758,2.48,1.00E-06,,Neutral
