,Chemical,CAS,Cell.type,FBS,Well,Q_cells,Q_media_free,Q_media,F_free_media
622,DEET,134-62-3,MCF7,2,96,3.28E-07,0.00014607,0.000149672,0.975935279
623,Dexamethasone,50-02-2,MCF7,2,96,3.35E-07,1.43E-04,0.000149665,0.953442665
624,Digoxin,20830-75-5,MCF7,2,96,2.03E-07,0.000149518,0.000149797,0.998138575
625,Fenazaquin,120928-09-8,MCF7,2,96,,,,
626,Fenbuconazole,114369-43-6,MCF7,2,96,,,,
627,Fluazinam,79622-59-6,MCF7,2,96,6.45E-06,3.89218E-05,0.00014355,0.271137719
628,Furosemide,54-31-9,MCF7,2,96,4.43E-07,0.000141601,0.000149557,0.946805648
629,Glybenclamide,10238-21-8,MCF7,2,96,6.03E-06,1.33594E-05,0.000143965,0.092795898
630,HC Red 3,2871-01-4,MCF7,2,96,,,,
631,Hydralazine hydrochloride,304-20-1,MCF7,2,96,,,,
632,Ketoconazole,65277-42-1,MCF7,2,96,2.58E-06,1.07E-04,0.000147424,0.72437415
