List,SubstanceName,CASRN,DTXSID,Molecular Weight,OPERABoilingPoint,OPERAHenryLawConstant,OPERAMeltingPoint,OPERAOctanolAirPartitionCoefficient,OPERAOctanolWaterDistributionCoefficient,OPERAOctanolWaterPartitionCoefficient,OPERAVaporPressure,OPERAWaterSolubility
Custom Chemical List 1,Sodium warfarin,129-06-6,DTXSID7035010,308.105,416,-10.4,207,10.52,0.66,0.67,-7.81,-5.74
Custom Chemical List 1,"o,p'-DDT",789-02-6,DTXSID6022345,351.915,371,-4.84,104,9.57,6.92,6.92,-5.87,-6.67
Custom Chemical List 1,Acetaminophen,103-90-2,DTXSID2020006,151.063,310,-8.24,170,7.96,0.46,0.46,-5.16,-1.03
Custom Chemical List 1,Perfluoroundecanoic acid,2058-94-8,DTXSID8047553,563.964,218,-9.48,99,4.7,-2.86,4,-3.19,-3.78
Custom Chemical List 1,Chlorpromazine,50-53-3,DTXSID0022808,320.111,361,-8.06,89,10.91,5.36,5.41,-6.84,-5.15
Custom Chemical List 1,(4Z)-Cyclopentadec-4-en-1-one,14595-54-1,DTXSID0051730,222.198,298,-3.74,25,7.8,5.4,5.4,-4.53,-4.04
Custom Chemical List 1,"2,2',4,4',5-Pentabromodiphenyl ether",60348-60-9,DTXSID9030048,559.626,409,-3.28,213,11.35,7.32,7.32,-7.51,-7.75
Custom Chemical List 1,Oxytetracycline hydrochloride,2058-46-0,DTXSID5021097,460.148,379,-10.9,203,9.5,-1.24,-1.03,-7.79,-3.14
Custom Chemical List 1,Cyclophosphamide monohydrate,6055-19-2,DTXSID6024888,260.025,300,-5.98,63,8.52,1.3,1.3,-4.01,-0.82
Custom Chemical List 1,Panthenol,16485-10-2,DTXSID3044598,205.131,299,-7.94,139,8.4,-4.08,-1.19,-6.81,0.69
Custom Chemical List 1,Perfluoropentanoic acid,2706-90-3,DTXSID6062599,263.983,143,-9.53,12,3.76,-4.95,1.35,0.82,-3.34
Custom Chemical List 1,Sodium cyclamate,139-05-9,DTXSID6020355,179.062,260,-7.85,136,7.8,-4.01,-1.71,-5.48,-0.08
Custom Chemical List 1,Hydralazine hydrochloride,304-20-1,DTXSID1044645,160.075,327,-7.36,172,7.94,-2.17,-1.98,-8.19,-1.95
Custom Chemical List 1,"Dibutyl 1,2-benzenedicarboxylate",84-74-2,DTXSID2021781,278.152,340,-5.74,-34,8.84,4.61,4.61,-4.7,-4.4
Custom Chemical List 1,4-Decylaniline,37529-30-9,DTXSID9022287,233.214,298,-4.69,25,10.03,7.23,7.23,-2.43,-4.39
Custom Chemical List 1,"Dodecahydro-3a,6,6,9a-tetramethylnaphtho[2,1-b]furan",3738-00-9,DTXSID2048119,236.214,305,-2.86,33,7.42,5.56,5.56,-4.65,-5.1
Custom Chemical List 1,Perfluorodecanoic acid,335-76-2,DTXSID3031860,513.967,205,-9.82,90,4.28,-0.95,4.15,-2.83,-2.65
Custom Chemical List 1,Ketoconazole,65277-42-1,DTXSID7029879,530.149,393,-7.35,146,11.68,4.25,4.35,-9.57,-3.8
Custom Chemical List 1,Perfluorooctanesulfonic acid,1763-23-1,DTXSID3031864,499.937,219,-10.7,185,4.75,-3.43,5.61,-5.61,-3.09
Custom Chemical List 1,Lamotrigine,84057-84-1,DTXSID2023195,255.008,336,-8.95,238,9.2,2.44,2.57,-9.42,-4.37
Custom Chemical List 1,Trifluralin,1582-09-8,DTXSID4021395,335.109,365,-3.99,50,8.41,5.34,5.34,-4.34,-6.07
Custom Chemical List 1,Ethion,563-12-2,DTXSID2024086,383.988,395,-6.35,-13,11.7,5.07,5.07,-5.82,-5.34
Custom Chemical List 1,Perfluorohexanoic acid,307-24-4,DTXSID3031862,313.98,168,-9.63,12,3.83,-4.35,2.85,-0.04,-4.04
Custom Chemical List 1,Dexamethasone,50-02-2,DTXSID3020384,392.2,391,-10.2,247,9.3,1.92,1.92,-9.45,-3.7
Custom Chemical List 1,Methoxychlor,72-43-5,DTXSID9020827,344.014,346,-6.69,87,9.17,5.08,5.08,-5.21,-6.61
Custom Chemical List 1,Nitrofurantoin,67-20-9,DTXSID7020972,238.034,265,-7.84,263,9.76,-3.77,-0.47,-4.55,-3.39
Custom Chemical List 1,"1,2-Dichlorobenzene",95-50-1,DTXSID6020430,145.969,180,-2.72,-16,4.37,3.43,3.43,0.13,-3.02
Custom Chemical List 1,Malathion,121-75-5,DTXSID4020791,330.036,360,-8.31,3,9.61,2.36,2.36,-5.47,-3.36
Custom Chemical List 1,Cetirizine hydrochloride (1:2),83881-52-1,DTXSID2044268,388.155,346,-9.98,183,10.38,0.31,1.87,-8.04,-5.1
Custom Chemical List 1,Metoclopramide,364-62-5,DTXSID6045169,299.14,348,-9.7,147,9.26,-1.19,2.62,-7.82,-3.24
Custom Chemical List 1,Diethyl phthalate,84-66-2,DTXSID7021780,222.089,300,-7.63,-21,6.75,2.44,2.44,-2.68,-2.33
Custom Chemical List 1,6:2 Fluorotelomer sulfonic acid,27619-97-2,DTXSID6067331,427.975,219,-9.74,126,5.71,-2.44,3.73,-6.08,-2.92
