"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"46","chlorpromazine","50-53-3","Armitage et al. (2021)",0.004579479,0.011309661,0.03,15,"HepaRG","Human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-2.33918392817422,-1.94655041258435,0.39263351558987,0.39263351558987
"47","chlorpromazine","50-53-3","Armitage et al. (2021)",0.000264694,9.55e-05,0.003,2,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-3.57725590303724,-4.01999662841625,-0.442740725379013,0.442740725379013
"48","chlorpromazine","50-53-3","Armitage et al. (2021)",6.02e-05,0.000955122,0.03,20,"PRH","Non-human","B",0.000883,318.86,151,5.41,-6.97,2.2128884,9.4,-4.22040350874218,-3.01994115140812,1.20046235733405,1.20046235733405
"49","ibuprofen","15687-27-1","Armitage et al. (2021)",0.020242029,0.187462969,0.2,100,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.69374595727993,-0.72708450898848,0.966661448291451,0.966661448291451
"50","ibuprofen","15687-27-1","Armitage et al. (2021)",0.909838078,0.321545889,2,1000,"PHH","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-0.0410358912923602,-0.492757038549036,-0.451721147256675,0.451721147256675
"51","ibuprofen","15687-27-1","Armitage et al. (2021)",0.000820778,0.019291904,0.02,10,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.0857742928349,-1.71462490787259,1.37114938496231,1.37114938496231
"52","ibuprofen","15687-27-1","Armitage et al. (2021)",0.0375,0.192919041,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.42596873227228,-0.714624905621414,0.711343826650867,0.711343826650867
"53","ibuprofen","15687-27-1","Armitage et al. (2021)",0.000510903,0.013090068,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.29166154715211,-1.88305809737987,1.40860344977223,1.40860344977223
"54","ibuprofen","15687-27-1","Armitage et al. (2021)",0.023037626,0.130900677,0.15,100,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-1.63756227647368,-0.883058107333095,0.754504169140585,0.754504169140585
"55","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",6.32e-05,0.001352164,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.19928292171762,-2.86897063089766,1.33031229081995,1.33031229081995
"56","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",2.81e-05,0.001352164,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.86897063089766,1.68232304919726,1.68232304919726
"57","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",2.81e-05,0.001352164,0.0014,0.7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-4.55129368009492,-2.86897063089766,1.68232304919726,1.68232304919726
"58","cyclosporine A","59865-13-3","Zaldivar-Comenges et al. (2017)",0.004589474,0.013521641,0.014,7,"PHH","Human","N",2.27e-06,1202.61,150,2.92,-45.2,0.67706943,NA,-2.33823708613762,-1.86897059877919,0.469266487358427,0.469266487358427
