"","Chemical","CAS","Model","Obs.val","pre.val","amount","conc","Cell.type","Species","IOC","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"68","ibuprofen","15687-27-1","Armitage et al. (2021)",0.000123274,0.0068,0.2,100,"HepaRG","Human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.90912851178399,-2.16749108729376,1.74163742449023,1.74163742449023
"69","ibuprofen","15687-27-1","Armitage et al. (2021)",0.000410317,0.00187,0.015,10,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-3.38688048924014,-2.7281583934635,0.65872209577664,0.65872209577664
"70","ibuprofen","15687-27-1","Armitage et al. (2021)",0.009471879,0.0187,0.15,100,"PRH","Non-human","A",0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-2.02356385854852,-1.7281583934635,0.295405465085015,0.295405465085015
"71","amiodarone","1951-25-3","Armitage et al. (2021)",0.000117512,5e-04,5e-04,0.25,"PHH","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-3.92991778217795,-3.30102999566398,0.628887786513965,0.628887786513965
"72","amiodarone","1951-25-3","Armitage et al. (2021)",0.002018182,0.005,0.005,2.5,"PHH","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-2.69503967158196,-2.30102999566398,0.394009675917978,0.394009675917978
"73","amiodarone","1951-25-3","Armitage et al. (2021)",0.000235397,0.00188,0.002,1,"HepaRG","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-3.62819907629185,-2.72584215073632,0.902356925555533,0.902356925555533
"74","amiodarone","1951-25-3","Armitage et al. (2021)",0.001121495,0.00941,0.01,5,"HepaRG","Human","B",0.106,645.31,238,7.57,-10.7,0.4168,9,-2.95020265830683,-2.02641037657274,0.923792281734084,0.923792281734084
"75","PBDE 47","5436-43-1","Armitage et al. (2021)",0.00014,0.000664,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",37.7,485.79,152,6.81,-3.56,0.04420689,NA,-3.85387196432176,-3.17783192063198,0.676040043689779,0.676040043689779
"76","PBDE 99","60348-60-9","Armitage et al. (2021)",0.000126,0.000664,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",53.195625,564.69,177,7.32,-4.01,0.014343126,NA,-3.89962945488244,-3.17783192063198,0.721797534250455,0.721797534250455
"77","PBDE 153","68631-49-2","Armitage et al. (2021)",0.000156696,0.000664,0.00067,0.67,"Rat cerebellar granule cell","Non-human","N",452.92275,643.58,197,7.9,-4.37,0.001950047,NA,-3.80494208968393,-3.17783192063198,0.627110169051948,0.627110169051948
