"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"37","Lindane","58-89-9","Fischer et al. (2017)",0.225766666666667,0.238934423,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.646340179113301,-0.621721277449768,0.0246189016635335,0.0246189016635335
"38","Methoxychlor-o,p'","72-43-5","Fischer et al. (2017)",0.0068,0.006093616,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.16749108729376,-2.21512491708669,-0.0476338297929266,0.0476338297929266
"39","Parathion","56-38-2","Fischer et al. (2017)",0.0792,0.271000583,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.10127481841051,-0.567029774832566,0.53424504357794,0.53424504357794
"40","Trifluralin","1582-09-8","Fischer et al. (2017)",0.0243333333333333,0.027100432,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.61379839459921,-1.56702378611007,0.0467746084891405,0.0467746084891405
"41","2,4-Dinitrophenol","51-28-5","Fischer et al. (2017)",0.385966666666667,1.003901682,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.413450200788945,0.00169118187704436,0.415141382665989,0.415141382665989
"42","Aldrin","309-00-2","Fischer et al. (2017)",0.00103333333333333,0.002799,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.98575956088539,-2.55299710153384,0.432762459351552,0.432762459351552
"43","Azinphos-methyl","86-50-0","Fischer et al. (2017)",0.4386,0.455,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.357931372658496,-0.341988603342888,0.0159427693156084,0.0159427693156084
"44","Chlorpyrifos","2921-88-2","Fischer et al. (2017)",0.000766666666666667,0.069856586,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-3.11539341870207,-1.1557926428265,1.95960077587557,1.95960077587557
"45","DDD-p,p'","50-29-3","Fischer et al. (2017)",0.0012,0.000182363,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.92081875395238,-3.7390632719607,-0.818244518008329,0.818244518008329
"46","DDT-o,p'","789-02-6","Fischer et al. (2017)",0.00376666666666667,0.000482435,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.42404281123624,-3.31656119225374,-0.892518381017499,0.892518381017499
"47","DDT-p,p'","72-54-8","Fischer et al. (2017)",4e-04,0.0005083,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-3.39794000867204,-3.2938798902973,0.104060118374741,0.104060118374741
"48","Diazinon","333-41-5","Fischer et al. (2017)",0.0547666666666667,0.272632608,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.2614836912846,-0.564422201958622,0.697061489325979,0.697061489325979
"49","Dicofol","115-32-2","Fischer et al. (2017)",0.0165333333333333,0.0145,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.78163957822946,-1.83863199776503,-0.0569924195355602,0.0569924195355602
"50","Dieldrin","60-57-1","Fischer et al. (2017)",0.0104,0.012606874,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.98296666070122,-1.89939258772131,0.0835740729799075,0.0835740729799075
"51","Disulfoton","298-04-4","Fischer et al. (2017)",0.8419,0.214125215,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.0747394904805647,-0.66933218795747,-0.594592697476905,0.594592697476905
"52","Endosulfan I","115-29-7","Fischer et al. (2017)",0.0107,0.136912449,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.97061622231479,-0.863557061097576,1.10705916121721,1.10705916121721
"53","Endrin","72-20-8","Fischer et al. (2017)",0.0104666666666667,0.102730395,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.98019160664645,-0.988301042013468,0.991890564632979,0.991890564632979
"54","Ethion","563-12-2","Fischer et al. (2017)",0.00106666666666667,0.084710254,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.97197127639976,-1.07206401604382,1.89990726035594,1.89990726035594
