"","Chemical","CAS","Model","Obs.val","pre.val","ref","Cell.type","Data.source","MassBalanceIssue","IOC","conc","H37","MW","MP","log.KOW","log.KAW","Solubility","pKa","logit.Obs.val","logit.pre.val","diff","abs.diff"
"514","Cyclamate","139-05-9","Fisher et al. (2019)",0.417,0.999901,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.001431254,179.24,107,-0.585,-9.77,874691.2,17.6,-0.379863945026242,-4.29972821089888e-05,0.379820947744133,0.379820947744133
"515","Cyclophosphamide","6055-19-2","Fisher et al. (2019)",0.8,0.99771,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.1061003,261.09,61.5,0.695,-10.2,46212.93,6.1,-0.0969100130080564,-0.000995674846875265,0.0959143381611811,0.0959143381611811
"516","Cypermethrin","67375-30-8","Fisher et al. (2019)",0.005,0.00190296,"Nicol et al. (MCF7)","Cell-free","Literature","1","N",10,0.000211698,416.3,102,6.62,-6.45,0.01477865,NA,-2.30102999566398,-2.72057034043702,-0.41954034477304,0.41954034477304
"517","DEET","134-62-3","Fisher et al. (2019)",0.815,0.918253,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.014645918,191.27,-45,2.18,-6.57,916.1833,NA,-0.0888423912600234,-0.037037644108378,0.0518047471516454,0.0518047471516454
"518","Dexamethasone","50-02-2","Fisher et al. (2019)",0.702,0.95522,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,6.69448e-06,392.46,248,1.92,-18.8,78.492,NA,-0.153662887870195,-0.0198965930418558,0.133766294828339,0.133766294828339
"519","Digoxin","20830-75-5","Fisher et al. (2019)",0.654,0.990866,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,1.33572e-05,780.94,426,1.26,-30.7,59.195252,NA,-0.184422251675733,-0.00398507346168345,0.180437178214049,0.180437178214049
"520","Fenazaquin","120928-09-8","Fisher et al. (2019)",0.005,0.00909451,"Nicol et al. (MCF7)","Cell-free","Literature","1","N",10,0.136683664,306.4,78.5,5.51,-7.24,0.1495232,NA,-2.30102999566398,-2.04122069517431,0.25980930048967,0.25980930048967
"521","Fenbuconazole","114369-43-6","Fisher et al. (2019)",0.162,0.456493,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.394199993,336.82,125,3.23,-10,0.3738702,NA,-0.790484985457369,-0.340565877679916,0.449919107777453,0.449919107777453
"522","Fluazinam","79622-59-6","Fisher et al. (2019)",0.005,0.108718,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,1.60589e-06,465.09,113,4.01,-4.7,0.4883445,NA,-2.30102999566398,-0.963698545577927,1.33733145008605,1.33733145008605
"523","Furosemide","54-31-9","Fisher et al. (2019)",0.521,0.942578,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,2.54517e-05,330.74,261,2.03,-16.3,43.98842,3,-0.283162276700476,-0.0256827009970312,0.257479575703444,0.257479575703444
"524","Glybenclamide","10238-21-8","Fisher et al. (2019)",0.116,0.0180188,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,1.93071e-05,494,169,4.85,-18,4.00634,5,-0.935542010773082,-1.74427413515116,-0.808732124378078,0.808732124378078
"525","HC Red 3","2871-01-4","Fisher et al. (2019)",0.91,0.999427,"Nicol et al. (MCF7)","Cell-free","Literature","0","N",10,0.0090306,197.19,152,0.13,-11.8,121074.66,NA,-0.0409586076789064,-0.000248922061113738,0.0407096856177926,0.0407096856177926
"526","Hydralazine hydrochloride","304-20-1","Fisher et al. (2019)",0.14,0.997535,"Nicol et al. (MCF7)","Cell-free","Literature","1","B",10,0.004422997,160.18,163,0.725,-11.6,211437.6,6,-0.853871964321762,-0.00107185750567453,0.852800106816087,0.852800106816087
"527","Ibuprofen","15687-27-1","Fisher et al. (2019)",0.169,0.197806,"Nicol et al. (MCF7)","Cell-free","Literature","0","A",10,0.00824,206.28,89.1,3.73,-6.22,35.68644,5.4,-0.772113295386326,-0.70376053919298,0.0683527561933465,0.0683527561933465
"528","Ketoconazole","65277-42-1","Fisher et al. (2019)",0.279,0.0499446,"Nicol et al. (MCF7)","Cell-free","Literature","0","B",10,0.004526021,531.43,146,4.35,-20,83.96594,6.6,-0.554395796726402,-1.30151146073086,-0.747115664004459,0.747115664004459
"529","Metformin","1115-70-4","Fisher et al. (2019)",0.441,0.999951,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,0.000359515,129.16,74.3,-0.87,-9.13,1016489.2,9.6,-0.355561410532161,-2.1280951000802e-05,0.355540129581161,0.355540129581161
"530","Metoclopramide","364-62-5","Fisher et al. (2019)",0.876,0.791293,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,2.0217e-05,299.8,147,2.62,-12.3,174.7834,9,-0.0574958938319193,-0.101662676146394,-0.044166782314475,0.044166782314475
"531","Nitrofurantoin","67-20-9","Fisher et al. (2019)",0.968,0.999868,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,0.001464592,238.16,263,-0.47,-12.7,96.21664,7.3,-0.0141246426916063,-5.73306555177521e-05,0.0140673120360886,0.0140673120360886
"532","Oxytetracycline hydrochloride","2058-46-0","Fisher et al. (2019)",0.95,0.99999,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,1.36684e-06,460.43,460,-1.53,-28.9,501868.7,4.5,-0.0222763947111523,-4.34296653388161e-06,0.0222720517446184,0.0222720517446184
"533","Panthenol","16485-10-2 ","Fisher et al. (2019)",0.268,0.999954,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,0.001163367,205.25,164,-0.895,-15,1034460,NA,-0.571865205971211,-1.99780056651986e-05,0.571845227965546,0.571845227965546
"534","Paracetamol","103-90-2","Fisher et al. (2019)",0.638,0.998713,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,0.000583065,151.16,170,0.46,-10.9,14224.156,NA,-0.195179321278838,-0.000559296983068007,0.19462002429577,0.19462002429577
"535","Topiramate","97240-79-4","Fisher et al. (2019)",0.95,0.999986,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,0.00094562,339.36,165,-1.39,-18,264022.08,9.2,-0.0222763947111523,-6.08016530788396e-06,0.0222703145458444,0.0222703145458444
"536","Trimellitic anhydride","552-30-7","Fisher et al. (2019)",0.91,0.985138,"Nicol et al. (MCF7)","Cell-free","Our data","0","A",10,2.26838e-06,192.13,162,1.46,-10.2,15754.66,3.3,-0.0409586076789064,-0.0065029284459743,0.0344556792329321,0.0344556792329321
"537","Verapamil hydrochloride","152-11-4","Fisher et al. (2019)",0.625,0.0367019,"Nicol et al. (MCF7)","Cell-free","Our data","0","B",10,0.047393263,454.6,200,4.48,-16.2,2.29573,9.2,-0.204119982655925,-1.43531145241939,-1.23119146976347,1.23119146976347
"538","Warfarin","129-06-6","Fisher et al. (2019)",0.412,0.842695,"Nicol et al. (MCF7)","Cell-free","Our data","0","N",10,3.76458e-06,308.33,175,2.48,-11.6,82.94077,NA,-0.385102783966865,-0.0743295828900227,0.310773201076843,0.310773201076843
"539","2,4-Dinitrophenol","51-28-5","Armitage et al. (2021)",0.302633333333333,0.98424468,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.519083238621326,-0.00689692396256179,0.512186314658764,0.512186314658764
"540","Aldrin","309-00-2","Armitage et al. (2021)",0.00166666666666667,0.001688498,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.77815125038364,-2.77249944944342,0.005651800940222,0.005651800940222
"541","Azinphos-methyl","86-50-0","Armitage et al. (2021)",0.420233333333333,0.751124197,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.376509501885872,-0.124288247267146,0.252221254618726,0.252221254618726
"542","Chlorpyrifos","2921-88-2","Armitage et al. (2021)",0.00266666666666667,0.020494249,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.57403126772772,-1.6883679915281,0.885663276199623,0.885663276199623
"543","DDD-p,p'","50-29-3","Armitage et al. (2021)",0.00316666666666667,0.000785969,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.49939764943081,-3.10459458296115,-0.605196933530338,0.605196933530338
"544","DDT-o,p'","789-02-6","Armitage et al. (2021)",0.00163333333333333,0.001601495,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.78692517469115,-2.79547441290138,-0.00854923821022791,0.00854923821022791
"545","DDT-p,p'","72-54-8","Armitage et al. (2021)",0.00123333333333333,0.003657721,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.90891953065267,-2.43678942427827,0.472130106374393,0.472130106374393
"546","Diazinon","333-41-5","Armitage et al. (2021)",0.0682333333333333,0.180830072,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.16600341205716,-0.742729344780714,0.423274067276443,0.423274067276443
"547","Dicofol","115-32-2","Armitage et al. (2021)",0.0166,0.019098923,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.77989191195995,-1.7189911221944,0.0609007897655418,0.0609007897655418
"548","Dieldrin","60-57-1","Armitage et al. (2021)",0.0159,0.016828252,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.79860287567955,-1.7739609931258,0.024641882553744,0.024641882553744
"549","Disulfoton","298-04-4","Armitage et al. (2021)",0.722033333333333,0.116378695,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.141442752363097,-0.934126517029844,-0.792683764666747,0.792683764666747
"550","Endosulfan I","115-29-7","Armitage et al. (2021)",0.0263666666666667,0.173440566,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.57894477122199,-0.760849317877664,0.818095453344322,0.818095453344322
"551","Endrin","72-20-8","Armitage et al. (2021)",0.0164333333333333,0.011093111,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.78427433544243,-1.95494664134744,-0.170672305905007,0.170672305905007
"552","Ethion","563-12-2","Armitage et al. (2021)",0.00425,0.01795241,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.37161106994969,-1.7458772418241,0.625733828125593,0.625733828125593
"553","Heptachlor","76-44-8","Armitage et al. (2021)",0.00446666666666667,0.003771351,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.35001645635485,-2.42350304588416,-0.0734865895293026,0.0734865895293026
"554","Heptachlor epoxide B","1024-57-3","Armitage et al. (2021)",0.0279,0.020041683,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5543957967264,-1.69806581140146,-0.143670014675057,0.143670014675057
"555","Lindane","58-89-9","Armitage et al. (2021)",0.3132,0.203587666,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.504178246614094,-0.691248536504219,-0.187070289890125,0.187070289890125
"556","Methoxychlor-o,p'","72-43-5","Armitage et al. (2021)",0.00556666666666667,0.017728986,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.25440478357208,-1.75131610293252,0.503088680639556,0.503088680639556
"557","Parathion","56-38-2","Armitage et al. (2021)",0.0631666666666667,0.173924735,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.19951204041557,-0.759638649681541,0.43987339073403,0.43987339073403
"558","Trifluralin","1582-09-8","Armitage et al. (2021)",0.0145666666666667,0.012483707,"Valdiviezo et al.(10 uM - Single)","Cell-free","Our data","0","N",10,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.83663981774924,-1.9036564330359,-0.0670166152866603,0.0670166152866603
"559","2,4-Dinitrophenol","51-28-5","Armitage et al. (2021)",0.0967666666666667,0.98424468,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","A",1,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-1.01427421888799,-0.00689692396256179,1.00737729492543,1.00737729492543
"560","Aldrin","309-00-2","Armitage et al. (2021)",0.0066,0.001688498,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.18045606445813,-2.77249944944342,-0.592043384985291,0.592043384985291
"561","Azinphos-methyl","86-50-0","Armitage et al. (2021)",0.3653,0.751124197,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.437350327788083,-0.124288247267146,0.313062080520937,0.313062080520937
"562","Chlorpyrifos","2921-88-2","Armitage et al. (2021)",0.00373333333333333,0.020494249,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-2.42790323204948,-1.6883679915281,0.739535240521385,0.739535240521385
"563","DDD-p,p'","50-29-3","Armitage et al. (2021)",0.0024,0.000785969,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.61978875828839,-3.10459458296115,-0.484805824672758,0.484805824672758
"564","DDT-o,p'","789-02-6","Armitage et al. (2021)",0.0039,0.001601495,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.4089353929735,-2.79547441290138,-0.386539019927876,0.386539019927876
"565","DDT-p,p'","72-54-8","Armitage et al. (2021)",0.0015,0.003657721,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.82390874094432,-2.43678942427827,0.387119316666044,0.387119316666044
"566","Diazinon","333-41-5","Armitage et al. (2021)",0.0183,0.180830072,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.73754891026957,-0.742729344780714,0.994819565488857,0.994819565488857
"567","Dicofol","115-32-2","Armitage et al. (2021)",0.0281333333333333,0.019098923,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.55077880809401,-1.7189911221944,-0.168212314100396,0.168212314100396
"568","Dieldrin","60-57-1","Armitage et al. (2021)",0.0186666666666667,0.016828252,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.72893322771346,-1.7739609931258,-0.0450277654123423,0.0450277654123423
"569","Disulfoton","298-04-4","Armitage et al. (2021)",0.6044,0.116378695,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.218675544333012,-0.934126517029844,-0.715450972696832,0.715450972696832
"570","Endosulfan I","115-29-7","Armitage et al. (2021)",0.0240333333333333,0.173440566,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.61918599000023,-0.760849317877664,0.85833667212257,0.85833667212257
"571","Endrin","72-20-8","Armitage et al. (2021)",0.0227666666666667,0.011093111,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.64270055103813,-1.95494664134744,-0.31224609030931,0.31224609030931
"572","Ethion","563-12-2","Armitage et al. (2021)",0.0012,0.01795241,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.92081875395238,-1.7458772418241,1.17494151212828,1.17494151212828
"573","Heptachlor","76-44-8","Armitage et al. (2021)",0.0099,0.003771351,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.00436480540245,-2.42350304588416,-0.419138240481708,0.419138240481708
"574","Heptachlor epoxide B","1024-57-3","Armitage et al. (2021)",0.0290666666666667,0.020041683,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.5366047697871,-1.69806581140146,-0.161461041614364,0.161461041614364
"575","Lindane","58-89-9","Armitage et al. (2021)",0.225766666666667,0.203587666,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.646340179113301,-0.691248536504219,-0.0449083573909179,0.0449083573909179
"576","Methoxychlor-o,p'","72-43-5","Armitage et al. (2021)",0.0068,0.017728986,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.16749108729376,-1.75131610293252,0.416174984361241,0.416174984361241
"577","Parathion","56-38-2","Armitage et al. (2021)",0.0792,0.173924735,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.10127481841051,-0.759638649681541,0.341636168728966,0.341636168728966
"578","Trifluralin","1582-09-8","Armitage et al. (2021)",0.0243333333333333,0.012483707,"Valdiviezo et al.(1 uM - Single)","Cell-free","Our data","0","N",1,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-1.61379839459921,-1.9036564330359,-0.289858038436694,0.289858038436694
"579","2,4-Dinitrophenol","51-28-5","Armitage et al. (2021)",0.385966666666667,0.98424468,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","A",10,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-0.413450200788945,-0.00689692396256179,0.406553276826383,0.406553276826383
"580","Aldrin","309-00-2","Armitage et al. (2021)",0.00103333333333333,0.001688498,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.98575956088539,-2.77249944944342,0.213260111441968,0.213260111441968
"581","Azinphos-methyl","86-50-0","Armitage et al. (2021)",0.4386,0.751124197,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.357931372658496,-0.124288247267146,0.23364312539135,0.23364312539135
"582","Chlorpyrifos","2921-88-2","Armitage et al. (2021)",0.000766666666666667,0.020494249,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-3.11539341870207,-1.6883679915281,1.42702542717397,1.42702542717397
"583","DDD-p,p'","50-29-3","Armitage et al. (2021)",0.0012,0.000785969,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.92081875395238,-3.10459458296115,-0.183775829008777,0.183775829008777
"584","DDT-o,p'","789-02-6","Armitage et al. (2021)",0.00376666666666667,0.001601495,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.42404281123624,-2.79547441290138,-0.371431601665134,0.371431601665134
"585","DDT-p,p'","72-54-8","Armitage et al. (2021)",4e-04,0.003657721,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-3.39794000867204,-2.43678942427827,0.961150584393763,0.961150584393763
"586","Diazinon","333-41-5","Armitage et al. (2021)",0.0547666666666667,0.180830072,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.2614836912846,-0.742729344780714,0.518754346503887,0.518754346503887
"587","Dicofol","115-32-2","Armitage et al. (2021)",0.0165333333333333,0.019098923,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-1.78163957822946,-1.7189911221944,0.0626484560350618,0.0626484560350618
"588","Dieldrin","60-57-1","Armitage et al. (2021)",0.0104,0.016828252,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.98296666070122,-1.7739609931258,0.209005667575415,0.209005667575415
"589","Disulfoton","298-04-4","Armitage et al. (2021)",0.8419,0.116378695,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.0747394904805647,-0.934126517029844,-0.859387026549279,0.859387026549279
"590","Endosulfan I","115-29-7","Armitage et al. (2021)",0.0107,0.173440566,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.97061622231479,-0.760849317877664,1.20976690443713,1.20976690443713
"591","Endrin","72-20-8","Armitage et al. (2021)",0.0104666666666667,0.011093111,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.829,380.91,144,5.43,-4.26,0.05180376,NA,-1.98019160664645,-1.95494664134744,0.0252449652990079,0.0252449652990079
"592","Ethion","563-12-2","Armitage et al. (2021)",0.00106666666666667,0.01795241,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0457,384.48,-13,5.07,-7.25,1.7340048,NA,-2.97197127639976,-1.7458772418241,1.22609403457566,1.22609403457566
"593","Heptachlor","76-44-8","Armitage et al. (2021)",0.00256666666666667,0.003771351,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,29.8,373.32,95.5,6.1,-2.92,0.14223492,NA,-2.59063052954718,-2.42350304588416,0.167127483663023,0.167127483663023
"594","Heptachlor epoxide B","1024-57-3","Armitage et al. (2021)",0.0179,0.020041683,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,2.13,389.32,160,4.98,-4.75,0.22308036,NA,-1.74714696902011,-1.69806581140146,0.0490811576186476,0.0490811576186476
"595","Lindane","58-89-9","Armitage et al. (2021)",0.2754,0.203587666,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.322,290.83,75.2,3.72,-3.77,4.449699,NA,-0.560036064079095,-0.691248536504219,-0.131212472425124,0.131212472425124
"596","Methoxychlor-o,p'","72-43-5","Armitage et al. (2021)",0.00303333333333333,0.017728986,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0206,345.65,87,5.08,-6.7,0.08468425,NA,-2.51807986239857,-1.75131610293252,0.766763759466046,0.766763759466046
"597","Parathion","56-38-2","Armitage et al. (2021)",0.0724,0.173924735,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,0.0302,291.26,6.1,3.83,-5.78,12.728062,NA,-1.14026143380285,-0.759638649681541,0.380622784121312,0.380622784121312
"598","Trifluralin","1582-09-8","Armitage et al. (2021)",0.00946666666666667,0.012483707,"Valdiviezo et al.(10 uM- Mixture)","Cell-free","Our data","0","N",10,10.4,335.28,49,5.34,-3.39,0.28632912,NA,-2.02380291467262,-1.9036564330359,0.120146481636724,0.120146481636724
"599","2,4-Dinitrophenol","51-28-5","Armitage et al. (2021)",0.0502,0.98424468,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","A",1,0.00871,184.11,116,1.67,-6.32,1441.5813,4.1,-1.29929628285498,-0.00689692396256179,1.29239935889242,1.29239935889242
"600","Aldrin","309-00-2","Armitage et al. (2021)",0.00413333333333333,0.001688498,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,4.46,364.91,129,6.5,-1.68,0.026310011,NA,-2.38369956955743,-2.77249944944342,-0.388799879885994,0.388799879885994
"601","Azinphos-methyl","86-50-0","Armitage et al. (2021)",0.441133333333333,0.751124197,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0101,317.32,73,2.75,-13.3,23.132628,NA,-0.355430124412086,-0.124288247267146,0.23114187714494,0.23114187714494
"602","Chlorpyrifos","2921-88-2","Armitage et al. (2021)",0.000966666666666667,0.020494249,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.297,350.59,42,4.96,-4.17,1.1499352,NA,-3.01472325682071,-1.6883679915281,1.32635526529261,1.32635526529261
"603","DDD-p,p'","50-29-3","Armitage et al. (2021)",0.00173333333333333,0.000785969,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.843,354.49,108,6.91,-3.82,0.006699861,NA,-2.76111791108486,-3.10459458296115,-0.343476671876289,0.343476671876289
"604","DDT-o,p'","789-02-6","Armitage et al. (2021)",0.0031,0.001601495,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,1.45,354.49,116,6.56,-3.95,0.07656984,NA,-2.50863830616573,-2.79547441290138,-0.286836106735649,0.286836106735649
"605","DDT-p,p'","72-54-8","Armitage et al. (2021)",0.00166666666666667,0.003657721,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.669,320.04,110,6.12,-3.32,0.09025128,NA,-2.77815125038364,-2.43678942427827,0.341361826105369,0.341361826105369
"606","Diazinon","333-41-5","Armitage et al. (2021)",0.0603333333333333,0.180830072,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.0114,304.35,52.6,3.81,-5.17,47.4786,NA,-1.21944267985048,-0.742729344780714,0.476713335069764,0.476713335069764
"607","Dicofol","115-32-2","Armitage et al. (2021)",0.00786666666666667,0.019098923,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.000149,370.49,77.5,5.02,-6.03,0.8632417,NA,-2.10420925174956,-1.7189911221944,0.385218129555153,0.385218129555153
"608","Dieldrin","60-57-1","Armitage et al. (2021)",0.0215333333333333,0.016828252,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.829,380.91,202,5.12,-4.26,0.20835777,NA,-1.66688873672458,-1.7739609931258,-0.107072256401226,0.107072256401226
"609","Disulfoton","298-04-4","Armitage et al. (2021)",0.914333333333333,0.116378695,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,0.483,274.4,-25,4.02,-5.26,18.05552,NA,-0.038895447115133,-0.934126517029844,-0.895231069914711,0.895231069914711
"610","Endosulfan I","115-29-7","Armitage et al. (2021)",0.0221,0.173440566,"Valdiviezo et al.(1 uM- Mixture)","Cell-free","Our data","0","N",1,2.45,406.93,106,3.83,-4.96,0.40570921,NA,-1.65560772631489,-0.760849317877664,0.894758408437226,0.894758408437226
