Chemical,Obs_freeperc_cell,Pred_freeperc_cell_Fischer,Pred_freeperc_cell_VIVD,Pred_freeperc_cell_IVMBM,Pred_freeperc_cell_VCBA,Diff_freeperc_media_Fischer,Diff_freeperc_media_VIVD,Diff_freeperc_media_IVMBM,Diff_freeperc_media_VCBA,ABS_Diff_freeperc_media_Fischer,ABS_Diff_freeperc_media_VIVD,ABS_Diff_freeperc_media_IVMBM,ABS_Diff_freeperc_media_VCBA,Note,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
amiodarone,0.235023041,0.999986881,0.530834,0.99385713,0.5739406,0.628883861,0.35384829,0.626213516,0.387756506,0.628883861,0.35384829,0.626213516,0.387756506,"PHH; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,0.25
amiodarone,0.403636364,0.999986881,0.530834,0.99385713,0.57394064,0.394004017,0.118968446,0.391333672,0.152876692,0.394004017,0.118968446,0.391333672,0.152876692,"PHH; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,2.5
amiodarone,0.156931217,0.312429166,0.0586,0.501690446,0.0564,0.299042227,-0.427811727,0.504726488,-0.444430239,0.299042227,0.427811727,0.504726488,0.444430239,"HepaRG; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,1
amiodarone,0.14953271,0.312429166,0.0585936,0.501690446,0.05635276,0.320015365,-0.406886022,0.525699626,-0.423821013,0.320015365,0.406886022,0.525699626,0.423821013,"HepaRG; Pomponio et al., 2015",0.106,-0.974694135,408,645.31,238,7.57,-10.7,0.4168,-0.38007229,5
PBDE 47,0.208721089,0.999246191,0.902001493,0.991142702,0.475596791,0.680106169,0.635640924,0.676569855,0.357672584,0.680106169,0.635640924,0.676569855,0.357672584,"Rat cerebellar granule cell; Kodavanti et al., 2005",3.77E+01,1.57634135,225,485.79,152,6.81,-3.56,0.04420689,-1.354510037,0.67
PBDE 99,0.18743984,0.999246191,0.902001493,0.991142702,0.475596791,0.726810597,0.682345352,0.723274283,0.404377011,0.726810597,0.682345352,0.723274283,0.404377011,"Rat cerebellar granule cell; Kodavanti et al., 2005",53.195625,1.725875916,241,564.69,177,7.32,-4.01,0.014343126,-1.843356186,0.67
PBDE 153,0.233874334,0.999246191,0.902001493,0.991142702,0.475596791,0.630689938,0.586224693,0.627153624,0.308256352,0.630689938,0.586224693,0.627153624,0.308256352,"Rat cerebellar granule cell; Kodavanti et al., 2005",452.92275,2.656024136,257,643.58,197,7.9,-4.37,0.001950047,-2.709954921,0.67
PBDE 47,0.155888707,0.999246191,0.902002725,0.991142702,0.475596793,0.806857847,0.762393195,0.803321533,0.484424263,0.806857847,0.762393195,0.803321533,0.484424263,"Rat cerebellar granule cell; Kodavanti et al., 2005",3.77E+01,1.57634135,225,485.79,152,6.81,-3.56,0.04420689,-1.354510037,3.67
PBDE 99,0.175338609,0.999246191,0.902002725,0.991142702,0.475596793,0.755794945,0.711330293,0.752258631,0.433361361,0.755794945,0.711330293,0.752258631,0.433361361,"Rat cerebellar granule cell; Kodavanti et al., 2005",53.195625,1.725875916,241,564.69,177,7.32,-4.01,0.014343126,-1.843356186,3.67
PBDE 153,0.183932752,0.999246191,0.902002725,0.991142702,0.475596793,0.735013433,0.690548781,0.731477119,0.412579849,0.735013433,0.690548781,0.731477119,0.412579849,"Rat cerebellar granule cell; Kodavanti et al., 2005",452.92275,2.656024136,257,643.58,197,7.9,-4.37,0.001950047,-2.709954921,3.67
PBDE 47,0.156813496,0.999246191,0.902001874,0.991142702,0.475596793,0.804289064,0.759824003,0.80075275,0.48185548,0.804289064,0.759824003,0.80075275,0.48185548,"Rat cerebellar granule cell; Kodavanti et al., 2005",3.77E+01,1.57634135,225,485.79,152,6.81,-3.56,0.04420689,-1.354510037,10.67
PBDE 99,0.13760075,0.999246191,0.902001874,0.991142702,0.475596793,0.8610517,0.816586639,0.857515386,0.538618116,0.8610517,0.816586639,0.857515386,0.538618116,"Rat cerebellar granule cell; Kodavanti et al., 2005",53.195625,1.725875916,241,564.69,177,7.32,-4.01,0.014343126,-1.843356186,10.67
PBDE 153,0.08230553,0.999246191,0.902001874,0.991142702,0.475596793,1.084243486,1.039778424,1.080707172,0.761809902,1.084243486,1.039778424,1.080707172,0.761809902,"Rat cerebellar granule cell; Kodavanti et al., 2005",452.92275,2.656024136,257,643.58,197,7.9,-4.37,0.001950047,-2.709954921,10.67
PBDE 47,0.141540974,0.999246191,0.902001956,0.991142702,0.475596792,0.848790322,0.804325299,0.845254008,0.526356737,0.848790322,0.804325299,0.845254008,0.526356737,"Rat cerebellar granule cell; Kodavanti et al., 2005",3.77E+01,1.57634135,225,485.79,152,6.81,-3.56,0.04420689,-1.354510037,30.67
PBDE 99,0.074635944,0.999246191,0.902001956,0.991142702,0.475596792,1.126724471,1.082259449,1.123188157,0.804290886,1.126724471,1.082259449,1.123188157,0.804290886,"Rat cerebellar granule cell; Kodavanti et al., 2005",53.195625,1.725875916,241,564.69,177,7.32,-4.01,0.014343126,-1.843356186,30.67
PBDE 153,0.041935171,0.999246191,0.902001956,0.991142702,0.475596792,1.377094083,1.332629061,1.373557769,1.054660498,1.377094083,1.332629061,1.373557769,1.054660498,"Rat cerebellar granule cell; Kodavanti et al., 2005",452.92275,2.656024136,257,643.58,197,7.9,-4.37,0.001950047,-2.709954921,30.67
