Chemical,Obs_perc_media,Pred_perc_media_Fischer,Pred_perc_media_VIVD,Pred_perc_media_IVMBM,Pred_perc_media_VCBA,Note,Type,H37,log10_H37,vb,MW,MP,logkow,logkaw,Solubility,log10_Solubility,Conc
Lilyfore,0.9999,NA,0.94264464,0.942689035,0.946725068,Schug et al. (Fish RTgut - High dose),Free,7.17E-02,-1.144480844,172,176.25,50.8,3.24,-5.78,222.075,2.346499671,11.34429949
Damascone beta,0.99,NA,0.603846154,0.585121071,0.628305676,Schug et al. (Fish RTgut - High dose),Free,3.28E+01,1.515873844,212,192.3,17.5,4.29,-2.6,7.98045,0.902027381,5.200208008
Veloutone,0.57,NA,0.138297872,0.141056615,0.154314333,Schug et al. (Fish RTgut - High dose),Free,1.84E+01,1.264817823,256,222.37,40.4,5.28,-3.52,0.9384014,-0.027611353,0.50942435
Verdox,0.74,NA,0.010899471,0.011511421,NA,Schug et al. (Fish RTgut - High dose),Free,,,,236.39,60.7,6.45,-1.88,0.15223516,-0.817485032,5.042864347
Nirvanol,0.46,NA,0.057777778,0.059828459,NA,Schug et al. (Fish RTgut - High dose),Free,,,,258.4,54.5,5.7,-3.69,1.250656,0.097137871,0.449640288
Cetalox,0.72,NA,0.108490566,0.103805054,0.12220326,Schug et al. (Fish RTgut - High dose),Free,1.40E+02,2.146128036,252,236.39,60.7,5.4,-1.56,2.434817,0.386466325,1.057529611
Tonalide,0.43,NA,0.057881137,0.059828459,0.066046969,Schug et al. (Fish RTgut - High dose),Free,4.8534675,0.686052126,281,258.4,54.5,5.7,-3.69,1.250656,0.097137871,0.03869969
Eugenol F,0.9999,0.996842877,0.99341,0.992878437,0.993604707,Schug et al. (Fish RTgut - Low dose),Free,2.22E-02,-1.653647026,156,164.2,-9.1,2.27,-4.85,840.704,2.924643114,1827.040195
Methyl-antranilate,0.9999,0.999052349,0.996837408,0.997125494,0.99731178,Schug et al. (Fish RTgut - Low dose),Free,1.11E-03,-2.954677021,130,151.16,24.5,1.88,-6.32,2872.04,3.458190484,5291.005291
Lilyfore,0.9999,NA,0.943205,0.942689035,0.946725068,Schug et al. (Fish RTgut - Low dose),Free,7.17E-02,-1.144480844,172,176.25,50.8,3.24,-5.78,222.075,2.346499671,680.6579694
Damascone beta,0.99,NA,0.603822,0.306344739,0.628305676,Schug et al. (Fish RTgut - Low dose),Free,3.28E+01,1.515873844,212,192.3,17.5,4.29,-2.6,7.98045,0.902027381,104.0041602
Veloutone,0.57,NA,0.1381952,0.052278672,0.154314333,Schug et al. (Fish RTgut - Low dose),Free,1.84E+01,1.264817823,256,222.37,40.4,5.28,-3.52,0.9384014,-0.027611353,61.13092206
Verdox,0.74,NA,0.0109065,0.006344105,NA,Schug et al. (Fish RTgut - Low dose),Free,,,,236.39,60.7,6.45,-1.88,0.15223516,-0.817485032,75.6429652
Nirvanol,0.46,NA,0.057824,0.059828459,NA,Schug et al. (Fish RTgut - Low dose),Free,,,,258.4,54.5,5.7,-3.69,1.250656,0.097137871,26.97841727
Cetalox,0.72,NA,0.108744,0.103805054,0.12220326,Schug et al. (Fish RTgut - Low dose),Free,1.40E+02,2.146128036,252,236.39,60.7,5.4,-1.56,2.434817,0.386466325,21.15059222
Tonalide,0.43,NA,0.057881601,0.059828459,0.066046969,Schug et al. (Fish RTgut - Low dose),Free,4.8534675,0.686052126,281,258.4,54.5,5.7,-3.69,1.250656,0.097137871,7.73993808
di-n-butylphthalate,0.59,0.728372292,0.350652059,0.416475775,0.45177658,Tanneberger et al. (Fish RTgill),Free,1.83E-01,-0.736604813,264,278.34,-35,4.61,-5.26,11.189268,1.048801676,0.835586139
hexachlorophene,0.26,NA,0.001387529,0.07186876,0.001060106,Tanneberger et al. (Fish RTgill),Free,3.68E-06,-5.434376763,237,406.9,166,7.54,-9.21,140.7874,2.148563789,0.049152126
Caffeine,0.96,0.999990823,0.999018657,0.99989421,0.999960321,Tanneberger et al. (Fish RTgill),Free,1.57E-01,-0.803951689,133,194.19,238,-0.07,-9.95,21749.28,4.337444884,14037.07518
hexamethylenetetramine,0.999999,NA,0.998893113,0.983651643,0.999992288,Tanneberger et al. (Fish RTgill),Free,1.53E-02,-1.81530644,98.2,140.19,96.3,-1.27,-3.42,999554.7,5.999806566,98787.4465
Malathion,0.99,0.987385698,0.988658462,0.991346816,0.992192213,Tanneberger et al. (Fish RTgill),Free,4.95E-04,-3.304974528,260,330.36,2.8,2.36,-9.87,144.69768,2.160461568,39.34624697
pentachlorophenol,0.73,0.233343207,0.2383385,0.967582008,0.207398969,Tanneberger et al. (Fish RTgill),Free,2.48E-03,-2.605117303,148,266.34,174,5.12,-5.02,40.48368,1.607279983,0.075103267
"2,4-dinitrophenol",0.999999,0.997036242,0.99801579,0.998090504,0.998315297,Tanneberger et al. (Fish RTgill),Free,8.71E-03,-2.059784936,112,184.11,116,1.67,-6.32,1340.3208,3.127208757,4.1281912
"2,2,2-trichloroethanol",0.94,0.998486842,0.997627268,0.978709665,0.999034176,Tanneberger et al. (Fish RTgill),Free,5.97E-01,-0.224168093,93.3,149.4,19,1.42,-3.34,83215.8,4.920205793,712.8514056
parathion ethyl,0.77,0.93017529,0.766396429,0.806289352,0.825839336,Tanneberger et al. (Fish RTgill),Free,3.02E-02,-1.520067124,220,291.26,6.1,3.83,-5.78,12.728062,1.104762282,2.883625129
diethylphthalate,0.91,0.990058339,0.986548678,0.989417086,0.990678901,Tanneberger et al. (Fish RTgill),Free,2.37E-03,-2.62506753,198,222.24,-40.5,2.44,-5.26,1037.8608,3.016139109,310.5310531
4-chlorophenol,0.87,0.987292705,0.988076667,0.990038609,0.991655657,Tanneberger et al. (Fish RTgill),Free,6.39E-02,-1.194254028,99.8,128.56,42.7,2.39,-4.8,24554.96,4.390139231,93.3125972
permethrin,0.29,0.003545361,0.0066521,0.006928419,0.011392881,Tanneberger et al. (Fish RTgill),Free,2.43E-03,-2.614072146,303,391.29,34,6.5,-6.61,0.08373606,-1.077087478,23.00025556
Aniline,0.999999,0.998991443,0.998654351,0.997209305,0.999694926,Tanneberger et al. (Fish RTgill),Free,2.05E-01,-0.688932018,91.7,93.13,-6,0.9,-4.27,36041.31,4.556800568,4749.731472
disulfoton,0.54,0.905107698,0.6783168,0.730317017,0.755940677,Tanneberger et al. (Fish RTgill),Free,4.85E-01,-0.313947874,233,274.4,-25,4.02,-5.26,18.05552,1.256610001,9.110787172
